gene_id,entropy
ENSG00000198712,2.459612821852713
ENSG00000198938,2.337988456735028
ENSG00000198804,2.1848251697890966
ENSG00000198727,2.182487961368133
ENSG00000212907,1.9027504663619164
ENSG00000198886,1.7924465450732676
ENSG00000198899,1.7632524631932291
ENSG00000198888,1.7018352170010334
ENSG00000211459,1.5181273339097636
ENSG00000198763,1.4859824860224053
ENSG00000198786,0.8003922080453356
ENSG00000228253,0.5350315940518453
ENSG00000198840,0.5244745809152408
ENSG00000111057,0.43619593420786645
ENSG00000087086,0.40853465092495167
ENSG00000197061,0.36697529693607545
ENSG00000210082,0.3233176732244815
ENSG00000198695,0.24340046299763443
ENSG00000125148,0.08315849258692981
ENSG00000111640,0.04159394911809519
ENSG00000171345,0.04159394911809519
ENSG00000280800,0.04159394911809519
ENSG00000034510,0.04159394911809519
ENSG00000161016,0.04159394911809519
ENSG00000125968,0.04159394911809519
ENSG00000084207,0.04159394911809519
ENSG00000166710,0.0
ENSG00000258602,0.0
ENSG00000201384,0.0
ENSG00000165548,0.0
ENSG00000198894,0.0
ENSG00000246548,0.0
ENSG00000273729,0.0
ENSG00000119669,0.0
ENSG00000266553,0.0
ENSG00000013523,0.0
ENSG00000066739,0.0
ENSG00000071246,0.0
ENSG00000275672,0.0
ENSG00000258569,0.0
ENSG00000119715,0.0
ENSG00000089916,0.0
ENSG00000119699,0.0
ENSG00000119650,0.0
ENSG00000009830,0.0
ENSG00000100577,0.0
ENSG00000100580,0.0
ENSG00000100583,0.0
ENSG00000165417,0.0
ENSG00000165409,0.0
ENSG00000100629,0.0
ENSG00000211448,0.0
ENSG00000063761,0.0
ENSG00000197734,0.0
ENSG00000100603,0.0
ENSG00000119705,0.0
ENSG00000100601,0.0
ENSG00000240233,0.0
ENSG00000100596,0.0
ENSG00000100593,0.0
ENSG00000100591,0.0
ENSG00000151445,0.0
ENSG00000165555,0.0
ENSG00000259103,0.0
ENSG00000133935,0.0
ENSG00000119685,0.0
ENSG00000119616,0.0
ENSG00000119681,0.0
ENSG00000165898,0.0
ENSG00000119655,0.0
ENSG00000119688,0.0
ENSG00000239910,0.0
ENSG00000205659,0.0
ENSG00000171763,0.0
ENSG00000119711,0.0
ENSG00000119636,0.0
ENSG00000187097,0.0
ENSG00000119723,0.0
ENSG00000156050,0.0
ENSG00000258891,0.0
ENSG00000119725,0.0
ENSG00000140043,0.0
ENSG00000119682,0.0
ENSG00000119596,0.0
ENSG00000119686,0.0
ENSG00000119689,0.0
ENSG00000156127,0.0
ENSG00000140044,0.0
ENSG00000259319,0.0
ENSG00000259687,0.0
ENSG00000170345,0.0
ENSG00000273565,0.0
ENSG00000170348,0.0
ENSG00000119638,0.0
ENSG00000119703,0.0
ENSG00000119640,0.0
ENSG00000119684,0.0
ENSG00000258646,0.0
ENSG00000119718,0.0
ENSG00000119630,0.0
ENSG00000198208,0.0
ENSG00000273783,0.0
ENSG00000140022,0.0
ENSG00000071537,0.0
ENSG00000165949,0.0
ENSG00000089737,0.0
ENSG00000089723,0.0
ENSG00000175785,0.0
ENSG00000011114,0.0
ENSG00000012963,0.0
ENSG00000170270,0.0
ENSG00000153485,0.0
ENSG00000165943,0.0
ENSG00000258730,0.0
ENSG00000100605,0.0
ENSG00000066455,0.0
ENSG00000100600,0.0
ENSG00000100599,0.0
ENSG00000140090,0.0
ENSG00000165934,0.0
ENSG00000165948,0.0
ENSG00000119632,0.0
ENSG00000066427,0.0
ENSG00000119698,0.0
ENSG00000168398,0.0
ENSG00000227051,0.0
ENSG00000187621,0.0
ENSG00000182512,0.0
ENSG00000252481,0.0
ENSG00000247092,0.0
ENSG00000176438,0.0
ENSG00000165959,0.0
ENSG00000235706,0.0
ENSG00000100697,0.0
ENSG00000133937,0.0
ENSG00000171766,0.0
ENSG00000188488,0.0
ENSG00000197249,0.0
ENSG00000140093,0.0
ENSG00000183648,0.0
ENSG00000100815,0.0
ENSG00000185070,0.0
ENSG00000152315,0.0
ENSG00000140025,0.0
ENSG00000258792,0.0
ENSG00000258920,0.0
ENSG00000258752,0.0
ENSG00000053254,0.0
ENSG00000165533,0.0
ENSG00000165521,0.0
ENSG00000278576,0.0
ENSG00000100722,0.0
ENSG00000258789,0.0
ENSG00000258983,0.0
ENSG00000070778,0.0
ENSG00000042317,0.0
ENSG00000140030,0.0
ENSG00000054983,0.0
